X-axis,Y-axis,time(in seconds)
85.25,25.07,1057
83.9,27.96,1058
86.79,22.89,1059
87.65,29.31,1060
88.23,21.96,1061
89.64,23.58,1062
87.26,24.35,1063
83.64,27.05,1064
89.51,27.55,1065
90.06,41,1066
89.24,26.49,1067
91.45,22.91,1068
91.77,32.59,1069
88.07,24.2,1070
90.01,26.38,1071
92.73,19.7,1072
91.76,28.74,1073
91.42,41.71,1074
88.84,22.09,1075
87.18,28.86,1076
91.74,24.09,1077
88.12,32.16,1078
64.79,25,1079
62.33,27.18,1080
66.98,22.31,1081
67.02,28.05,1082
67.06,32.13,1083
65.49,21.77,1084
66.62,24.26,1085
67.37,27.19,1086
70.45,9.01,1087
66.75,25.94,1088
62.55,26.4,1089
68.74,21.35,1090
72.81,26.44,1091
67.65,24.03,1092
68.2,27.2,1093
72.07,10,1094
67.59,25.56,1095
66.75,34.82,1096
65.79,20.96,1097
67.99,28.05,1098
70.43,28.13,1099
67.45,32.65,1100
67.1,18.9,1101
64.82,21.4,1102
67.63,16.26,1103
69.1,22.22,1104
68.34,15.76,1105
71.19,17.75,1106
69.88,18.54,1107
71.01,21.52,1108
72.08,36.65,1109
70.18,20.56,1110
65.42,20.58,1111
73.83,17.63,1112
73.9,26.36,1113
70.69,18.43,1114
70.89,20.25,1115
72.82,13.65,1116
73.3,18.9,1117
74.94,36.37,1118
69.08,15.42,1119
70.17,22.12,1120
73.37,22.3,1121
69.08,25.54,1122
72.62,22.53,1123
76.62,23.13,1124
76.1,29.33,1125
78.58,21.3,1126
77.41,24.27,1127
67.93,20.3,1128
73.44,17.28,1129
76.16,26.03,1130
77.92,39.76,1131
77.43,25.35,1132
74.09,22.88,1133
79.75,25.02,1134
78.17,24.38,1135
76.59,14.83,1136
84.96,15.08,1137
80.21,21.85,1138
82.25,37.09,1139
76.67,18.81,1140
76.87,26.15,1141
78.31,25.75,1142
76.68,29.83,1143
77.37,22.75,1144
81.6,17.96,1145
85.12,28.53,1146
84.92,27.52,1147
82.29,30.07,1148
83.48,41.92,1149
85.53,18.58,1150
65.41,34.16,1151
85.37,24.7,1152
86.29,32.37,1153
74.06,19.66,1154
75.43,30.29,1155
85.51,27.1,1156
90.65,27.13,1157
85.96,19.67,1158
89.61,26.44,1159
85.48,26.12,1160
86.34,24.07,1161
84.82,29.86,1162
83.72,40.67,1163
86.91,31.3,1164
85.47,29.09,1165
84.65,34.68,1166
49.76,11.63,1167
56.96,20.85,1168
54.71,20.66,1169
50.69,40.91,1170
59.94,17.25,1171
58.04,18.29,1172
60.07,26.33,1173
55.76,18.97,1174
59.1,23.25,1175
54.69,26.52,1176
36.41,24.4,1177
57.71,20.45,1178
62.75,21.47,1179
56.01,11.95,1180
58.78,19.62,1181
63.32,20.79,1182
60.63,20.4,1183
60.37,17.96,1184
59.44,22.94,1185
60.82,38.31,1186
57.27,25.7,1187
58.25,21.46,1188
37.33,12.7,1189
40.51,23.22,1190
36.61,22.9,1191
33.1,42.2,1192
43.01,17.78,1193
42.34,19.81,1194
41.4,30.23,1195
37.63,19.48,1196
41.38,26.69,1197
27.24,34.18,1198
25.83,16.78,1199
41.27,22.99,1200
42.18,29.35,1201
46.34,22.53,1202
42.9,20.67,1203
47.45,21.49,1204
43.69,21.63,1205
43.44,18.61,1206
42.26,25.77,1207
43.13,39.19,1208
41.27,23.77,1209
40.08,13.3,1210
35.29,33.66,1211
37.67,24.5,1212
36.96,22.51,1213
33.6,26.29,1214
30.72,36.56,1215
38.91,28.59,1216
30.91,11.67,1217
37.46,18.42,1218
38.16,20.43,1219
33.62,15.12,1220
19.02,25.06,1221
37.86,22.49,1222
42.45,24.93,1223
39.76,30.68,1224
42.92,23.73,1225
38.02,33.4,1226
39.16,21.58,1227
39.21,18.7,1228
38.65,24.97,1229
37.72,11.69,1230
38.55,24.3,1231
37.34,15.39,1232
21.83,34.22,1233
24.58,29.48,1234
21.75,21.52,1235
22.01,43.16,1236
26.17,19.83,1237
26.25,31.28,1238
24,26.95,1239
22.98,28.41,1240
24,24.81,1241
22.34,16.7,1242
11.52,24.38,1243
24.82,27.44,1244
30.09,27.13,1245
27.16,19.85,1246
29.64,26.34,1247
25.1,26.17,1248
25.56,24.55,1249
26.35,30.53,1250
22.89,35.01,1251
25.22,21.1,1252
25.64,29.2,1253
23.45,43.58,1254
11.42,30.02,1255
12.13,26.77,1256
10.08,24.82,1257
9.96,32.97,1258
12.49,22.58,1259
12.28,28.83,1260
11.77,25.77,1261
12.31,32.31,1262
9.74,28.4,1263
8.65,32.98,1264
10.52,22.78,1265
12.74,27.29,1266
13.31,23.44,1267
15.42,27.88,1268
13.37,32.26,1269
13.06,25.78,1270
17.16,27.2,1271
15.93,25.78,1272
12.32,25,1273
12.03,30.13,1274
11.97,30.93,1275
12.11,28.83,1276
69.92,21.05,1277
74.54,37.62,1278
74.41,33.36,1279
74.95,31.3,1280
73.17,43.93,1281
73.92,28.1,1282
74.32,29.62,1283
65.87,13.75,1284
72.36,29.65,1285
72.75,35.16,1286
52.96,29.57,1287
75.24,33.09,1288
79.48,32.78,1289
74.09,27.99,1290
78.81,32.21,1291
73.45,13.08,1292
73.94,31.48,1293
74.26,29.29,1294
75.28,36.73,1295
74.57,21,1296
74.58,34.71,1297
74.5,44.48,1298
83.66,14.94,1299
87.79,33.74,1300
88.62,30.18,1301
85.06,30.87,1302
76.45,39.84,1303
89.27,36.17,1304
87.45,30.23,1305
85.51,25.94,1306
85.73,34.1,1307
86.14,35.29,1308
67.92,23.74,1309
88.86,33.43,1310
92.74,32.75,1311
88.68,28.53,1312
91.91,32.03,1313
88.24,30.99,1314
89.78,34.26,1315
89.78,35.44,1316
87.87,14.29,1317
87.51,34.28,1318
84.53,41.62,1319
88.54,29.74,1320
61.32,14.97,1321
65.24,30.81,1322
67.14,43.33,1323
69.01,36.09,1324
67.7,30.99,1325
68.74,27.69,1326
69.56,24.67,1327
65.34,33.62,1328
67.69,32.98,1329
65.92,26.13,1330
47.59,26.58,1331
68.57,31.27,1332
73.87,31.85,1333
72.91,31.06,1334
67.21,29.68,1335
70.01,33.02,1336
69.61,35.3,1337
69.98,15.5,1338
69.15,24.75,1339
68.54,32.47,1340
67.48,44.04,1341
69.22,28.52,1342
53.87,34.99,1343
52.97,27.07,1344
54.22,24.43,1345
52.93,11.37,1346
52.7,18.7,1347
53.22,23.54,1348
51.92,23.07,1349
53.48,41.88,1350
53.62,29.87,1351
55.7,28.01,1352
71.91,21.71,1353
52.71,24.41,1354
48.59,22.95,1355
50.44,25.57,1356
48.11,23.71,1357
52.15,42.51,1358
52.18,26.78,1359
